"Copy/paste formula when using images or Type text for normal text.
Change 400 to ie 500 with make the picture and card bigger.
Video =G_",description for this sheet only,"add image HTML here (ending in jpg, png, gif, jpeg)",Youtube embedded video code (string after = ),start time (seconds),stop time (seconds),video link output,don't change for video,autoplay,Must add for video,,,don't change for images,Must add for images,
"<img class="qimages" src=""assets/4th-u8/turn-around.png"">",turn around,4th-u8/turn-around.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/go-down.png"">",go down,4th-u8/go-down.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/go-up.png"">",go up,4th-u8/go-up.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/go-back.png"">",go back,4th-u8/go-back.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/right.png"">",turn right,4th-u8/right.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/left.png"">",turn left,4th-u8/left.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/go straight.png"">",go straight,4th-u8/go straight.png,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/hallway.jpg"">",hallway,4th-u8/hallway.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/chuubu/school-office.jpg"">",school office,4th-u8/chuubu/school-office.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
"<img class="qimages" src=""assets/4th-u8/playground.jpg"">",playground,4th-u8/playground.jpg,,,,"<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/?autoplay=0&start=&end=""></iframe>","<iframe width=""700"" height=""400"" src=""https://www.youtube.com/embed/",?autoplay=0,"""></iframe>",&start=,&end=,"<img class="qimages" src=""",""">",assets/
